"perplexity","ng"
4.55443075481049,2
7.69200077204518,1
3.58905911883173,2
2.51999796959927,3
7.24776743418775,1
5.34370037239585,2
7.42013105199707,1
3.69924224114948,2
0,3
9.27310388121179,2
2.55051329131957,2
8.52641050335884,1
8.97581984763863,2
3.08402488069967,2
1.30625165344636,3
5.14018508644957,2
14.0755112621918,1
14.0755305382821,1
7.95741329309914,1
4.8336328987799,2
0,3
10.2913177730109,1
10.3621774218816,2
2.55019676810488,2
1.09861228866811,3
5.66916723197842,2
3.88795182133271,2
8.19216111548076,1
8.85806841904327,2
1.25338933870063,2
1.25338933870063,2
0,3
5.57878598448152,3
9.69412362463029,2
4.93167987006277,2
8.91818162749732,2
1.43508452528932,3
14.0756893591225,1
0,2
11.9988109017518,1
1.88706964903238,3
2.55204595262563,2
8.20338653323295,1
9.85740896606769,1
10.6743616845517,1
2.99220493303602,2
9.98931701549347,1
10.5232695619205,1
11.1882627758818,1
14.0756523545787,1
5.66296048013595,3
3.75609992248872,2
2.26868354131836,3
9.48093986444669,2
1.85958206556681,3
2.41789593950504,2
5.88800325878648,1
